Category: All categories

Month,Ricardo Milos: (United States)
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,1
2014-01,<1
2014-02,<1
2014-03,0
2014-04,1
2014-05,1
2014-06,<1
2014-07,1
2014-08,0
2014-09,0
2014-10,0
2014-11,<1
2014-12,1
2015-01,<1
2015-02,1
2015-03,0
2015-04,1
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,1
2015-10,<1
2015-11,1
2015-12,1
2016-01,1
2016-02,<1
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,1
2016-09,0
2016-10,1
2016-11,<1
2016-12,1
2017-01,<1
2017-02,<1
2017-03,<1
2017-04,<1
2017-05,<1
2017-06,<1
2017-07,0
2017-08,0
2017-09,<1
2017-10,<1
2017-11,<1
2017-12,<1
2018-01,0
2018-02,<1
2018-03,<1
2018-04,0
2018-05,0
2018-06,<1
2018-07,0
2018-08,0
2018-09,<1
2018-10,2
2018-11,4
2018-12,5
2019-01,12
2019-02,33
2019-03,91
2019-04,100
2019-05,61
2019-06,41
2019-07,40
2019-08,22
2019-09,20
2019-10,19
2019-11,17
2019-12,17
2020-01,16
2020-02,13
2020-03,13
2020-04,13
2020-05,12
2020-06,9
2020-07,8
2020-08,9
2020-09,6
2020-10,8
2020-11,8
2020-12,6
2021-01,5
2021-02,6
2021-03,6
2021-04,4
2021-05,4
2021-06,4
2021-07,5
2021-08,4
2021-09,4
2021-10,5
2021-11,4
2021-12,3
2022-01,3
2022-02,4
2022-03,4
2022-04,4
2022-05,5
2022-06,5
2022-07,4
2022-08,3
2022-09,2
2022-10,3
2022-11,3
2022-12,3
2023-01,3
2023-02,4
2023-03,3
2023-04,3
2023-05,2
2023-06,1
2023-07,6
